27
1: 0(0)->155(14)->175(168)->67(640)->0(747)
2: 0(0)->113(15)->13(285)->43(377)->2(472)->0(583)
3: 0(0)->45(19)->154(306)->24(400)->61(494)->100(586)->64(677)->0(791)
4: 0(0)->178(22)->27(116)->173(208)->74(860)->28(953)->0(1082)
5: 0(0)->62(23)->131(116)->44(209)->102(301)->146(392)->76(490)->68(586)->96(692)->130(783)->0(914)
6: 0(0)->30(32)->19(129)->192(222)->196(316)->97(407)->14(505)->89(601)->29(715)->87(807)->123(904)->0(1055)
7: 0(0)->20(33)->41(129)->85(222)->80(313)->31(405)->25(497)->136(700)->189(818)->0(992)
8: 0(0)->12(79)->164(175)->147(268)->160(361)->47(453)->91(546)->70(642)->0(781)
9: 0(0)->101(35)->144(128)->126(399)->7(557)->181(653)->81(772)->137(865)->183(958)->0(1093)
10: 0(0)->133(38)->48(130)->26(229)->152(321)->40(412)->169(506)->153(601)->145(721)->195(814)->52(906)->198(1025)->0(1164)
11: 0(0)->73(35)->11(262)->122(481)->167(626)->34(719)->95(810)->158(903)->0(1049)
12: 0(0)->116(41)->66(139)->129(241)->6(373)->139(611)->0(735)
13: 0(0)->119(107)->166(200)->35(293)->37(501)->151(617)->16(710)->140(803)->187(898)->142(992)->111(1084)->56(1182)->0(1336)
14: 0(0)->184(351)->199(446)->138(663)->0(801)
15: 0(0)->57(53)->118(147)->83(241)->143(335)->176(426)->33(518)->188(761)->17(893)->0(1000)
16: 0(0)->78(53)->5(191)->10(282)->106(492)->128(584)->72(694)->165(802)->0(951)
17: 0(0)->170(65)->134(156)->50(248)->156(340)->112(431)->168(524)->79(615)->42(751)->105(860)->59(953)->149(1058)->0(1181)
18: 0(0)->114(65)->159(159)->38(254)->150(345)->22(439)->63(928)->0(1087)
19: 0(0)->190(55)->193(217)->46(343)->125(448)->191(540)->4(635)->90(784)->39(881)->107(975)->0(1076)
20: 0(0)->103(70)->141(344)->69(436)->200(529)->162(764)->109(872)->0(980)
21: 0(0)->93(51)->135(149)->58(249)->54(359)->127(456)->186(549)->98(646)->157(741)->117(849)->49(941)->0(1106)
22: 0(0)->120(35)->21(162)->23(259)->182(355)->75(448)->163(539)->194(632)->92(805)->15(921)->0(1062)
23: 0(0)->55(56)->161(166)->104(259)->18(354)->185(449)->132(545)->0(719)
24: 0(0)->60(77)->180(174)->84(268)->82(362)->36(469)->121(597)->108(866)->0(1013)
25: 0(0)->177(86)->3(182)->88(275)->8(368)->71(519)->9(611)->1(703)->99(794)->53(887)->0(1015)
26: 0(0)->148(70)->124(233)->65(344)->86(437)->115(528)->94(621)->51(714)->174(808)->0(990)
27: 0(0)->32(84)->171(181)->197(293)->172(439)->77(557)->110(651)->179(759)->0(870)
4019.24
